,UniqueID,StateAbbr,StateDesc,CityName,GeographicLevel,TractFIPS,CityFIPS,Latitude,Longitude
56,0107000,AL,Alabama,Birmingham,City,,107000.0,33.5275663773,-86.7988174678
58,0107000-01073000100,AL,Alabama,Birmingham,Census Tract,1073000100.0,107000.0,33.579432832600006,-86.7228323926
59,0107000-01073000300,AL,Alabama,Birmingham,Census Tract,1073000300.0,107000.0,33.5428208686,-86.752433978
60,0107000-01073000400,AL,Alabama,Birmingham,Census Tract,1073000400.0,107000.0,33.5632449633,-86.7640474064
61,0107000-01073000500,AL,Alabama,Birmingham,Census Tract,1073000500.0,107000.0,33.5442404594,-86.7749130719
62,0107000-01073000700,AL,Alabama,Birmingham,Census Tract,1073000700.0,107000.0,33.5525406139,-86.80168937059999
63,0107000-01073000800,AL,Alabama,Birmingham,Census Tract,1073000800.0,107000.0,33.549697789,-86.8330944744
64,0107000-01073001100,AL,Alabama,Birmingham,Census Tract,1073001100.0,107000.0,33.5429143325,-86.87567828520001
65,0107000-01073001200,AL,Alabama,Birmingham,Census Tract,1073001200.0,107000.0,33.5278767706,-86.86041616860001
66,0107000-01073001400,AL,Alabama,Birmingham,Census Tract,1073001400.0,107000.0,33.526149725799996,-86.83514660600001
67,0107000-01073001500,AL,Alabama,Birmingham,Census Tract,1073001500.0,107000.0,33.5298727342,-86.8197191685
68,0107000-01073001600,AL,Alabama,Birmingham,Census Tract,1073001600.0,107000.0,33.5372993423,-86.8036590482
69,0107000-01073001902,AL,Alabama,Birmingham,Census Tract,1073001902.0,107000.0,33.5532050997,-86.74298016030001
70,0107000-01073002000,AL,Alabama,Birmingham,Census Tract,1073002000.0,107000.0,33.5541574106,-86.71672299149999
71,0107000-01073002100,AL,Alabama,Birmingham,Census Tract,1073002100.0,107000.0,33.5650015942,-86.7101024766
72,0107000-01073002200,AL,Alabama,Birmingham,Census Tract,1073002200.0,107000.0,33.5521301205,-86.7276759508
73,0107000-01073002303,AL,Alabama,Birmingham,Census Tract,1073002303.0,107000.0,33.5383153207,-86.7270445428
74,0107000-01073002305,AL,Alabama,Birmingham,Census Tract,1073002305.0,107000.0,33.5333415976,-86.7479566084
75,0107000-01073002306,AL,Alabama,Birmingham,Census Tract,1073002306.0,107000.0,33.5213873564,-86.7490031289
76,0107000-01073002400,AL,Alabama,Birmingham,Census Tract,1073002400.0,107000.0,33.5260748309,-86.7830315488
77,0107000-01073002700,AL,Alabama,Birmingham,Census Tract,1073002700.0,107000.0,33.5176008419,-86.81068874520001
78,0107000-01073002900,AL,Alabama,Birmingham,Census Tract,1073002900.0,107000.0,33.5132498864,-86.83004749
79,0107000-01073003001,AL,Alabama,Birmingham,Census Tract,1073003001.0,107000.0,33.5125158094,-86.85771649459998
80,0107000-01073003002,AL,Alabama,Birmingham,Census Tract,1073003002.0,107000.0,33.512258109,-86.84414399069999
81,0107000-01073003100,AL,Alabama,Birmingham,Census Tract,1073003100.0,107000.0,33.5059655756,-86.8745506086
82,0107000-01073003200,AL,Alabama,Birmingham,Census Tract,1073003200.0,107000.0,33.5094018502,-86.8859081961
83,0107000-01073003300,AL,Alabama,Birmingham,Census Tract,1073003300.0,107000.0,33.5171261108,-86.8913819749
84,0107000-01073003400,AL,Alabama,Birmingham,Census Tract,1073003400.0,107000.0,33.5052229234,-86.90148446559999
85,0107000-01073003500,AL,Alabama,Birmingham,Census Tract,1073003500.0,107000.0,33.506571401100004,-86.9195910063
86,0107000-01073003600,AL,Alabama,Birmingham,Census Tract,1073003600.0,107000.0,33.48476397,-86.89813929469999
87,0107000-01073003700,AL,Alabama,Birmingham,Census Tract,1073003700.0,107000.0,33.496901858899996,-86.89077294260001
88,0107000-01073003802,AL,Alabama,Birmingham,Census Tract,1073003802.0,107000.0,33.4785707794,-86.890000907
89,0107000-01073003803,AL,Alabama,Birmingham,Census Tract,1073003803.0,107000.0,33.485945214000004,-86.86969218600001
90,0107000-01073003900,AL,Alabama,Birmingham,Census Tract,1073003900.0,107000.0,33.4989959327,-86.86476000379999
91,0107000-01073004000,AL,Alabama,Birmingham,Census Tract,1073004000.0,107000.0,33.4953246015,-86.8516232073
92,0107000-01073004200,AL,Alabama,Birmingham,Census Tract,1073004200.0,107000.0,33.5007439361,-86.82707203790001
93,0107000-01073004500,AL,Alabama,Birmingham,Census Tract,1073004500.0,107000.0,33.5041857556,-86.8033798346
94,0107000-01073004701,AL,Alabama,Birmingham,Census Tract,1073004701.0,107000.0,33.5075242148,-86.7836675838
95,0107000-01073004702,AL,Alabama,Birmingham,Census Tract,1073004702.0,107000.0,33.5119902661,-86.7694550989
96,0107000-01073004800,AL,Alabama,Birmingham,Census Tract,1073004800.0,107000.0,33.498906400799996,-86.78269914
97,0107000-01073004901,AL,Alabama,Birmingham,Census Tract,1073004901.0,107000.0,33.497159564499995,-86.7917440668
98,0107000-01073004902,AL,Alabama,Birmingham,Census Tract,1073004902.0,107000.0,33.4935824043,-86.80092946030001
99,0107000-01073005000,AL,Alabama,Birmingham,Census Tract,1073005000.0,107000.0,33.486668979499996,-86.8173262831
100,0107000-01073005101,AL,Alabama,Birmingham,Census Tract,1073005101.0,107000.0,33.4945909008,-86.834763936
101,0107000-01073005103,AL,Alabama,Birmingham,Census Tract,1073005103.0,107000.0,33.485714885,-86.83278174670001
102,0107000-01073005104,AL,Alabama,Birmingham,Census Tract,1073005104.0,107000.0,33.474994181599996,-86.8335421747
103,0107000-01073005200,AL,Alabama,Birmingham,Census Tract,1073005200.0,107000.0,33.4806708775,-86.8508671514
104,0107000-01073005302,AL,Alabama,Birmingham,Census Tract,1073005302.0,107000.0,33.5766456449,-86.6965590316
105,0107000-01073005500,AL,Alabama,Birmingham,Census Tract,1073005500.0,107000.0,33.5670293898,-86.8005567213
106,0107000-01073005600,AL,Alabama,Birmingham,Census Tract,1073005600.0,107000.0,33.520098123400004,-86.72720631979999
107,0107000-01073005701,AL,Alabama,Birmingham,Census Tract,1073005701.0,107000.0,33.4629543329,-86.88984066280001
108,0107000-01073005702,AL,Alabama,Birmingham,Census Tract,1073005702.0,107000.0,33.4698691385,-86.874290602
109,0107000-01073005800,AL,Alabama,Birmingham,Census Tract,1073005800.0,107000.0,33.479062325,-86.8128063089
110,0107000-01073005903,AL,Alabama,Birmingham,Census Tract,1073005903.0,107000.0,33.597162309,-86.6766736351
111,0107000-01073005905,AL,Alabama,Birmingham,Census Tract,1073005905.0,107000.0,33.603988455999996,-86.7008123418
112,0107000-01073005907,AL,Alabama,Birmingham,Census Tract,1073005907.0,107000.0,33.6142861501,-86.6691996417
113,0107000-01073005908,AL,Alabama,Birmingham,Census Tract,1073005908.0,107000.0,33.618292443200005,-86.6801483084
114,0107000-01073005909,AL,Alabama,Birmingham,Census Tract,1073005909.0,107000.0,33.611811773,-86.72142215139999
115,0107000-01073005910,AL,Alabama,Birmingham,Census Tract,1073005910.0,107000.0,33.6299017499,-86.7194311229
116,0107000-01073010500,AL,Alabama,Birmingham,Census Tract,1073010500.0,107000.0,33.4363786806,-86.9128923072
117,0107000-01073010701,AL,Alabama,Birmingham,Census Tract,1073010701.0,107000.0,33.473886155,-86.8146487762
118,0107000-01073010706,AL,Alabama,Birmingham,Census Tract,1073010706.0,107000.0,33.4443709442,-86.8405352645
119,0107000-01073010801,AL,Alabama,Birmingham,Census Tract,1073010801.0,107000.0,33.514097853,-86.74669713620001
120,0107000-01073010802,AL,Alabama,Birmingham,Census Tract,1073010802.0,107000.0,33.4885493477,-86.78084302399999
121,0107000-01073010803,AL,Alabama,Birmingham,Census Tract,1073010803.0,107000.0,33.5229093892,-86.7102618642
122,0107000-01073010805,AL,Alabama,Birmingham,Census Tract,1073010805.0,107000.0,33.495279247199996,-86.6987184974
123,0107000-01073011104,AL,Alabama,Birmingham,Census Tract,1073011104.0,107000.0,33.6159436433,-86.6557892507
124,0107000-01073011107,AL,Alabama,Birmingham,Census Tract,1073011107.0,107000.0,33.5804845249,-86.63011109610001
125,0107000-01073011108,AL,Alabama,Birmingham,Census Tract,1073011108.0,107000.0,33.6050742596,-86.6316729386
126,0107000-01073011207,AL,Alabama,Birmingham,Census Tract,1073011207.0,107000.0,33.671884870599996,-86.67725104649999
127,0107000-01073011209,AL,Alabama,Birmingham,Census Tract,1073011209.0,107000.0,33.6557189992,-86.7050698349
128,0107000-01073011210,AL,Alabama,Birmingham,Census Tract,1073011210.0,107000.0,33.6641893755,-86.6956170686
129,0107000-01073011803,AL,Alabama,Birmingham,Census Tract,1073011803.0,107000.0,33.6252575173,-86.6998610409
130,0107000-01073011804,AL,Alabama,Birmingham,Census Tract,1073011804.0,107000.0,33.6474916175,-86.70429744239999
131,0107000-01073011901,AL,Alabama,Birmingham,Census Tract,1073011901.0,107000.0,33.6355414646,-86.736946691
132,0107000-01073011904,AL,Alabama,Birmingham,Census Tract,1073011904.0,107000.0,33.593140185,-86.7357930541
133,0107000-01073012001,AL,Alabama,Birmingham,Census Tract,1073012001.0,107000.0,33.591948611199996,-86.86438406799999
134,0107000-01073012002,AL,Alabama,Birmingham,Census Tract,1073012002.0,107000.0,33.585923419699995,-86.8357007188
135,0107000-01073012200,AL,Alabama,Birmingham,Census Tract,1073012200.0,107000.0,33.5967441904,-87.0879396857
136,0107000-01073012302,AL,Alabama,Birmingham,Census Tract,1073012302.0,107000.0,33.5542816352,-87.0544691416
137,0107000-01073012305,AL,Alabama,Birmingham,Census Tract,1073012305.0,107000.0,33.469535806399996,-86.96831739
138,0107000-01073012401,AL,Alabama,Birmingham,Census Tract,1073012401.0,107000.0,33.5571951048,-86.8777935049
139,0107000-01073012402,AL,Alabama,Birmingham,Census Tract,1073012402.0,107000.0,33.549984171999995,-86.8994543327
140,0107000-01073012500,AL,Alabama,Birmingham,Census Tract,1073012500.0,107000.0,33.529160486,-86.9346476445
141,0107000-01073012602,AL,Alabama,Birmingham,Census Tract,1073012602.0,107000.0,33.570164674000004,-86.666430582
142,0107000-01073012701,AL,Alabama,Birmingham,Census Tract,1073012701.0,107000.0,33.5484078071,-86.63237734549999
143,0107000-01073012703,AL,Alabama,Birmingham,Census Tract,1073012703.0,107000.0,33.468118094299996,-86.66718882129999
144,0107000-01073012704,AL,Alabama,Birmingham,Census Tract,1073012704.0,107000.0,33.5034195908,-86.61809834030001
145,0107000-01073012803,AL,Alabama,Birmingham,Census Tract,1073012803.0,107000.0,33.4439425865,-86.72129369379999
146,0107000-01073012910,AL,Alabama,Birmingham,Census Tract,1073012910.0,107000.0,33.4345805042,-86.7263292059
147,0107000-01073013002,AL,Alabama,Birmingham,Census Tract,1073013002.0,107000.0,33.46604181,-86.85672877969999
